fips,province_state,country_region,latitude,longitude,county,state
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,Maine
,Beijing,China,40.182,116.414,Unknown,Massachusetts
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,Maine
,Beijing,China,40.182,116.414,Unknown,Massachusetts
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,Louisiana
,Beijing,China,40.182,116.414,Unknown,Maine
,Beijing,China,40.182,116.414,Unknown,Massachusetts
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,Kentucky
,Beijing,China,40.182,116.414,Unknown,Louisiana
,Beijing,China,40.182,116.414,Unknown,Maine
,Beijing,China,40.182,116.414,Unknown,Massachusetts
,Beijing,China,40.182,116.414,Unknown,Nevada
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Tennessee
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Arkansas
,Beijing,China,40.182,116.414,Unknown,Georgia
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,Kentucky
,Beijing,China,40.182,116.414,Unknown,Louisiana
,Beijing,China,40.182,116.414,Unknown,Maine
,Beijing,China,40.182,116.414,Unknown,Massachusetts
,Beijing,China,40.182,116.414,Kansas City,Missouri
,Beijing,China,40.182,116.414,Unknown,Missouri
,Beijing,China,40.182,116.414,Unknown,Nevada
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Tennessee
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Arkansas
,Beijing,China,40.182,116.414,Unknown,Georgia
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,Kentucky
,Beijing,China,40.182,116.414,Unknown,Louisiana
,Beijing,China,40.182,116.414,Unknown,Maine
,Beijing,China,40.182,116.414,Unknown,Massachusetts
,Beijing,China,40.182,116.414,Unknown,Minnesota
,Beijing,China,40.182,116.414,Kansas City,Missouri
,Beijing,China,40.182,116.414,Unknown,Missouri
,Beijing,China,40.182,116.414,Unknown,Nevada
,Beijing,China,40.182,116.414,Unknown,New Jersey
,Beijing,China,40.182,116.414,New York City,New York
,Beijing,China,40.182,116.414,Unknown,Puerto Rico
,Beijing,China,40.182,116.414,Unknown,Rhode Island
,Beijing,China,40.182,116.414,Unknown,Tennessee
,Beijing,China,40.182,116.414,Unknown,Virgin Islands
,Beijing,China,40.182,116.414,Unknown,Arkansas
,Beijing,China,40.182,116.414,Unknown,California
,Beijing,China,40.182,116.414,Unknown,Colorado
,Beijing,China,40.182,116.414,Unknown,Florida
,Beijing,China,40.182,116.414,Unknown,Georgia
,Beijing,China,40.182,116.414,Unknown,Guam
,Beijing,China,40.182,116.414,Unknown,Kentucky
,Beijing,China,40.182,116.414,Unknown,Louisiana
,Beijing,China,40.182,116.414,Unknown,Maine
